Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue",Hp,I5 1334U,16 GB,512 GB SSD,"25.980,00 ???.",
Anhoch,"Notebook HP Pavilion 15 Ryzen7 7730U 16GB/512GB SSD/15.6"" FullHD/DOS/Fog Blue",Hp,RYZEN7 7730U,16 GB,512 GB SSD,"27.980,00 ???.","26.980,00 ???."
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB SSD/15.6"" FHD/DOS",Lenovo,RYZEN3 7320U,8 GB,256 GB SSD,"16.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad 1 Ryzen5 5500U 8GB/512GB SSD/15.6"" FHD/ DOS",Lenovo,RYZEN5 5500U,8 GB,512 GB SSD,"18.980,00 ???.","17.980,00 ???."
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Core 5 120U/16GB/512GB SSD/15.6"" FHD AG 250nits/Arc.Grey",Lenovo,CORE 5,16 GB,512 GB SSD,"30.980,00 ???.",
Anhoch,"Notebook Lenovo IP3 i7-1255U 16GB/512GB/15.6"" FullHD/DOS/ArcticGray",Lenovo,I7 1255U,16 GB,512 GB SSD,"28.980,00 ???.",
Anhoch,"Notebook Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX4050 6GB/15.6"" FHD IPS 144Hz/DOS",Lenovo,I5 12450HX,16 GB,512 GB SSD,"47.980,00 ???.","46.980,00 ???."
Anhoch,"Notebook HP 15 i5-1334U 12GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Warm Gold",Hp,I5 1334U,12 GB,512 GB SSD,"25.480,00 ???.","24.480,00 ???."
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Ryzen7 5825U 16GB/512GB/15.6"" FHD/Arctic Grey",Lenovo,RYZEN7 5825U,16 GB,512 GB SSD,"24.980,00 ???.",
Anhoch,"Notebook HP Pavilion 15 i5-1335U 8GB/512GB SSD/15.6"" FullHD IPS/Silver/DOS",Hp,I5 1335U,8 GB,512 GB SSD,"28.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 i5-13420H 16GB/512GB SSD/15.3"" WUXGA IPS/No OS",Lenovo,I5 13420H,16 GB,512 GB SSD,"26.980,00 ???.",
Anhoch,"Notebook Lenovo IdeaPad Slim 3 Ryzen7 7730U 16GB/512GB/16"" WUXGA IPS/No OS",Lenovo,RYZEN7 7730U,16 GB,512 GB SSD,"29.980,00 ???.",
Anhoch,"Notebook HP 15s i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Grey",Hp,I3 1215U,8 GB,512 GB SSD,"17.980,00 ???.",
Anhoch,"Notebook HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey",Hp,RYZEN3 7320U,8 GB,256 GB SSD,"16.980,00 ???.",
Anhoch,"Notebook HP 15 i3-1315U 12GB/512GB/15.6"" FHD IPS/Intel UHD/Type-C/DOS/Silver",Hp,I3 1315U,12 GB,512 GB SSD,"20.980,00 ???.","19.980,00 ???."
Anhoch,"Notebook Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS/GigaLAN/Steel Gray/Linux",Acer,I7 1355U,16 GB,512 GB SSD,"31.980,00 ???.","29.480,00 ???."
Anhoch,"Notebook Lenovo LOQ Gaming Ryzen5 8645HS/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS",Lenovo,RYZEN5 8645HS,16 GB,512 GB SSD,"54.980,00 ???.",
Anhoch,"Notebook Dell Latitude 5540 i5-1335U 8GB/512GB SSD/15.6"" FHD/FRP/BacklitKB/Ubu",Dell,I5 1335U,8 GB,512 GB SSD,"51.980,00 ???.","47.980,00 ???."
