Prodavnica,Ime,Brend,Procesor,RAM_Memorija,Kapacitet,Cena,Klub/Smart/Happy cena
Anhoch,"HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue",Hp,I5 1334U,16,512,2598000,
Anhoch,"HP Pavilion 15 Ryzen7 7730U 16GB/512GB SSD/15.6"" FullHD/DOS/Fog Blue",Hp,Ryzen7 7730U,16,512,2798000,2698000
Anhoch,"Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/256GB SSD/15.6"" FHD/DOS",Lenovo,Ryzen3 7320U,8,256,1698000,
Anhoch,"Lenovo IdeaPad 1 Ryzen5 5500U 8GB/512GB SSD/15.6"" FHD/ DOS",Lenovo,Ryzen5 5500U,8,512,1898000,1798000
Anhoch,"Lenovo IdeaPad Slim 3 Core 5 120U/16GB/512GB SSD/15.6"" FHD AG 250nits/Arc.Grey",Lenovo,I5,16,512,3098000,
Anhoch,"Lenovo IP3 i7-1255U 16GB/512GB/15.6"" FullHD/DOS/ArcticGray",Lenovo,I7 1255U,16,512,2898000,
Anhoch,"Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX4050 6GB/15.6"" FHD IPS 144Hz/DOS",Lenovo,I5 12450Hx,16,512,4798000,4698000
Anhoch,"HP 15 i5-1334U 12GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Warm Gold",Hp,I5 1334U,12,512,2548000,2448000
Anhoch,"Lenovo IdeaPad Slim 3 Ryzen7 5825U 16GB/512GB/15.6"" FHD/Arctic Grey",Lenovo,Ryzen7 5825U,16,512,2498000,
Anhoch,"HP Pavilion 15 i5-1335U 8GB/512GB SSD/15.6"" FullHD IPS/Silver/DOS",Hp,I5 1335U,8,512,2898000,
Anhoch,"Lenovo IdeaPad Slim 3 i5-13420H 16GB/512GB SSD/15.3"" WUXGA IPS/No OS",Lenovo,I5 13420H,16,512,2698000,
Anhoch,"Lenovo IdeaPad Slim 3 Ryzen7 7730U 16GB/512GB/16"" WUXGA IPS/No OS",Lenovo,Ryzen7 7730U,16,512,2998000,
Anhoch,"HP 15s i3-1215U 8GB/512GB/15.6"" FHD AG/Intel UHD/GigaLAN/Type-C/DOS/Grey",Hp,I3 1215U,8,512,1798000,
Anhoch,"HP 15 Ryzen3 7320U/8GB/256GB/15.6"" FullHD IPS/DOS/Grey",Hp,Ryzen3 7320U,8,256,1698000,
Anhoch,"HP 15 i3-1315U 12GB/512GB/15.6"" FHD IPS/Intel UHD/Type-C/DOS/Silver",Hp,I3 1315U,12,512,2098000,1998000
Anhoch,"Acer Aspire 5 A515-58P-77RL i7-1355U/16GB/512GB/15.6"" FHD IPS/GigaLAN/Steel Gray/Linux",Acer,I7 1355U,16,512,3198000,2948000
Anhoch,"Lenovo LOQ Gaming Ryzen5 8645HS/16GB/512GB/RTX4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS",Lenovo,Ryzen5 8645Hs,16,512,5498000,
Anhoch,"Dell Latitude 5540 i5-1335U 8GB/512GB SSD/15.6"" FHD/FRP/BacklitKB/Ubu",Dell,I5 1335U,8,512,5198000,4798000
Anhoch,"HP 14 i5-1335U 12GB/512GB SSD/14"" FHD IPS AG 300nits/Diamond White",Hp,I5 1335U,12,512,2548000,2448000
Anhoch,"Lenovo IdeaPad Slim 3 i3-1305U 8GB/256GB SSD/15.6"" FullHD/DOS/UltraSlim/Gray",Lenovo,I3 1305U,8,256,1948000,
Anhoch,"HP 250 G10 i5-1335U 8GB/512GB/15.6"" FullHD AG/HDMI/USB-C/DOS",Hp,I5 1335U,8,512,2298000,
Anhoch,"Lenovo IdeaPad 1 Ryzen5 7520U/8GB/256GB SSD/15.6"" FHD/DOS",Lenovo,Ryzen5 7520U,8,256,1898000,1798000
Anhoch,"Lenovo IdeaPad Slim 3 i5-12450H 16GB/512GB SSD/15.6"" FHD/DOS/UltraSlim/Gray",Lenovo,I5 12450H,16,512,2448000,
Anhoch,"Lenovo ThinkBook 16 G7 Ultra 5 125U/32GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS",Lenovo,Ultra 5 125U,32,1024,5198000,4798000
Anhoch,"Lenovo IdeaPad Slim 3 Ryzen7 7730U/16GB/512GB SSD/15.6"" FHD AG 250nits/ArcticGrey",Lenovo,Ryzen7 7730U,16,512,2698000,
Anhoch,"Acer EX215-23-R3KW Ryzen5 7520U 8GB/512GB SSD/15.6"" FullHD/Cam/RJ45/Linux",Acer,Ryzen5 7520U,8,512,1988000,1848000
Anhoch,"Acer Nitro 5 Intel Core 5 210H/16GB/512GB/RTX 3050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt",Acer,I5,16,512,5298000,
Anhoch,"Acer Nitro 5 Intel Core 5 210H/16GB/512GB/RTX 4050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt",Acer,I5,16,512,5798000,
Anhoch,"Acer Nitro 5 Intel Core 7 240H/16GB/1TB/RTX 4050 6GB/15.6"" FHD IPS 165Hz Slim/Thunderbolt",Acer,I7,16,1024,6598000,
Anhoch,"Dell Vostro 3530 i7-1355U 16GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I7 1355U,16,512,3698000,
Anhoch,"Lenovo LOQ Gaming Ryzen5 7235HS/24GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,Ryzen5 7235Hs,24,512,4398000,
Anhoch,"Lenovo LOQ Gaming i5-12450HX/16GB/512GB/RTX3050 6GB/15.6"" FHD IPS 144Hz/DOS",Lenovo,I5 12450Hx,16,512,4348000,
Anhoch,"Acer Nitro 5 i9-12900H/16GB/512GB SSD/RTX4060 8GB/15.6"" FHD 165Hz/RGB Kb/DOS",Acer,I9 12900H,16,512,7998000,7348000
Anhoch,"Dell Inspiron 3525 Ryzen7 5825U/16GB/512GB SSD/Vega8/15.6"" FHD 120Hz/Ubu",Dell,Ryzen7 5825U,16,512,2898000,2798000
Anhoch,"Dell Vostro 3530 i3-1305U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/3Cell/Ubuntu",Dell,I3 1305U,8,256,2098000,1998000
Anhoch,"Dell Vostro 3530 i5-1334U 16GB/512GB/IntelUHD/15.6""FHD120Hz/BLKB/3Cell",Dell,I5 1334U,16,512,2598000,
Anhoch,"Lenovo IdeaPad Slim 3 Ryzen3 7320U/8GB/512GB SSD/15.6"" FHD/DOS",Lenovo,Ryzen3 7320U,8,512,1798000,
Anhoch,"Dell Inspiron 3535 Ryzen5 7520U 8GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,Ryzen5 7520U,8,512,2148000,
Anhoch,"Dell Inspiron 3535 Ryzen5 7530U 16GB/512GB/Radeon 610M/15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,Ryzen5 7530U,16,512,2548000,
Anhoch,"Dell Inspiron 3535 Ryzen7 7730U 16GB/1TB/Radeon 610M15.6"" FHD120Hz/BacklitKB/3Cell/Linux",Dell,Ryzen7 7730U,16,1024,3078000,
Anhoch,"Acer Nitro Gaming ANV15-51 i5-13420H/16GB DDR5/512GB/RTX2050/15.6"" IPS 165Hz",Acer,I5 13420H,16,512,3748000,3598000
Anhoch,"Acer Extensa EX215-55 i5-1235U/16GB/512GB/15.6"" FHD/IrisXe/GigaLAN",Acer,I5 1235U,16,512,2298000,
Anhoch,"Dell Vostro 3520 i7-1255U 8GB/512GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/4Cell/Ubuntu",Dell,I7 1255U,8,512,3298000,
Anhoch,"Lenovo LOQ Gaming i7-13650HX/16GB/1TB/RTX 4060 8GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,I7 13650Hx,16,1024,6798000,
Anhoch,"HP 14 Ryzen3 7320U 8GB/512GB SSD/14"" FHD IPS AG 250nits/DOS/Jet Black",Hp,Ryzen3 7320U,8,512,1898000,
Anhoch,"HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Warm Gold",Hp,Ryzen3 7320U,8,512,1798000,
Anhoch,"HP 255 G10 Ryzen5 7530U 16GB/512GB/15.6"" FHD/BacklitKb/Silver",Hp,Ryzen5 7530U,16,512,2448000,2348000
Anhoch,"Asus Zenbook 14 Q415 Ultra 5 125H/8GB/512GB SSD/14"" WUXGA OLED Touch/Backlit KB/Win11/Gray",Asus,Ultra 5 125H,8,512,4498000,4198000
Anhoch,"Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS",Lenovo,Ultra 7 155H,16,1024,5498000,
Anhoch,"Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos",Lenovo,Ryzen7 5825U,16,1024,3998000,
Anhoch,"Lenovo IdeaPad Slim 3 i7-13620H 16GB/1TB SSD/15.3"" WUXGA IPS/No OS",Lenovo,I7 13620H,16,1024,3498000,
Anhoch,"Dell Vostro 5625 Ryzen5 5625U/8GB/256GB SSD/16"" FHD+/BacklitKB/Win11Pro",Dell,Ryzen5 5625U,8,256,3698000,
Anhoch,"Lenovo ThinkPad E16 Ryzen7 7735U/16GB/512GB SSD/16"" WUXGA IPS/KB Backlit/FP/Win11Pro",Lenovo,Ryzen7 7735U,16,512,5498000,
Anhoch,"HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Diamond White",Hp,I5 1334U,16,512,2598000,
Anhoch,"HP Pavilion 15 Ryzen7 7730U 16GB/512GB SSD/15.6"" FullHD/DOS",Hp,Ryzen7 7730U,16,512,2798000,
Anhoch,"Lenovo Gaming 3 i5-12450H/16GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS",Lenovo,I5 12450H,16,512,4698000,4598000
Anhoch,"Dell Vostro 3520 i3-1215U/8GB/256GB/Intel Iris XE/15.6"" FHD 120Hz/BacklitKB/3Cell/Ubuntu",Dell,I3 1215U,8,256,1798000,
Anhoch,"Lenovo IdeaPad Slim 3 i3-1305U 8GB/512GB SSD/15.6"" FullHD/DOS/UltraSlim/Abyss Blue",Lenovo,I3 1305U,8,512,1998000,
Anhoch,"Lenovo LOQ Gaming Ryzen5 7235HS/16GB/512GB/RTX3050 6GB/15.6"" FHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,Ryzen5 7235Hs,16,512,4098000,
Anhoch,"Lenovo ThinkBook 16 G7 Ryzen7 7735HS/16GB/512GB SSD/16"" WUXGA/Backlit Kb/DOS",Lenovo,Ryzen7 7735Hs,16,512,4498000,
Anhoch,"Dell Vostro 3420 i5-1135G7 8GB/512GB/Intel Iris XE/14"" FullHD/BacklitKB/3Cell/Ubuntu",Dell,I5 1135G,8,512,3448000,
Anhoch,"Lenovo IdeaPad Slim 3 i7-13620H/16GB/512GB SSD/15.6"" FHD AG 250nits/Abyss Blue",Lenovo,I7 13620H,16,512,3198000,
Anhoch,"Lenovo Gaming 3 i5-12450H/8GB/512GB/RTX3060 6GB/15.6"" FHD 120Hz/Backlit Kb/DOS",Lenovo,I5 12450H,8,512,4598000,4398000
Anhoch,"Lenovo ThinkPad E14 Gen 6 Ultra 5 125U/16GB/512GB/14"" FHD IPS/BacklitKB/FP/DOS",Lenovo,Ultra 5 125U,16,512,5298000,
Anhoch,"Dell Latitude 3520 i7-1165G7 16GB/256GB SSD/15.6"" FHD/FRP/BacklitKB/Win11Pro",Dell,I7 1165G,16,256,4698000,
Anhoch,"HP Pavilion 15 i5-1335U 16GB/512GB SSD/15.6"" FullHD IPS/White/DOS",Hp,I5 1335U,16,512,3098000,
Anhoch,"HP Victus Gaming Ryzen7 8845HS/16GB/512GB SSD/RTX4070 8GB/16.1"" FHD IPS 144Hz/BacklitKb/W11",Hp,Ryzen7 8845Hs,16,512,7498000,
Anhoch,"HP Victus Gaming i7 13700H/16GB/512GB SSD/RTX 4060 8GB/15.6"" FHD IPS 144Hz/Backlit Kb/Blue",Hp,I7 13700H,16,512,7298000,6998000
Anhoch,"Lenovo IdeaPad Slim 3 Core 7 150U/16GB/512GB SSD/15.6"" FHD IPS 300nits/Arc.Grey",Lenovo,I7,16,512,4098000,
Anhoch,"HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Diamond White",Hp,Ryzen3 7320U,8,512,1798000,
Anhoch,"Dell Vostro 3420 i7-1165G7 16GB/512GB/Intel Iris XE/14"" FullHD/BacklitKB/4Cell/DOS",Dell,I7 1165G,16,512,3998000,
Anhoch,"HP Envy 15 x360 Ryzen7 7730U/16GB/512GB SSD/15.6"" FHD Touch OLED/Backlit Kb/Win11",Hp,Ryzen7 7730U,16,512,5848000,
Anhoch,"Lenovo Gaming 3 i7-12650H 16GB/512GB/RTX3050 Ti 4GB/16"" FullHD AG 165Hz 350N/DOS",Lenovo,I7 12650H,16,512,5398000,5198000
Anhoch,"Lenovo ThinkPad E16 G2 Ultra 5 125U/16GB/512GB/16"" WUXGA IPS/Backlit KB/FP//Dos",Lenovo,Ultra 5 125U,16,512,6198000,5798000
Anhoch,"Lenovo LOQ Gaming i5-13450HX/16GB/512GB/RTX 4050 6GB/15.6"" FullHD 144Hz/Backlit Kb/DOS/Grey",Lenovo,I5 13450Hx,16,512,5398000,
Anhoch,"HP ProBook 455 G10 Ryzen5 7530U 8GB/512GB/15.6"" FullHD IPS/HDMI/USB-C/RJ45/DOS",Hp,Ryzen5 7530U,8,512,2898000,
Anhoch,"Acer NITRO AN515 i5-11400H 8GB/512GB SSD/RTX3050 4GB/15.6"" FUllHD IPS 144Hz/Linux/Black",Acer,I5 11400H,8,512,4198000,
